"@timestamp","@version","__typename","_id","_index","_score","_type","accessibility_caption","comments_disabled","created_at","did_report_as_spam","dimensions.height","dimensions.width","display_url","edge_liked_by.count","edge_media_preview_like.count","edge_media_to_comment.count","fact_check_information","fact_check_overall_rating","gating_info",id,"insta_description","is_restricted_pending","is_video",location,"location.has_public_page","location.id","location.name","location.slug","media_preview",message,"owner.id","owner.username",shortcode,"taken_at_timestamp",text,"thumbnail_src","viewer_has_liked"
"Mar 17, 2020 @ 20:29:59.843",1,GraphImage,jicw6nABCuLPJKLpUSoK,"insta_data-2020.02.26-000001",,"_doc","Photo by Vista Village on March 17, 2020. Image may contain: text that says 'BUY NOW SPEND LATER'",false,0,false,"1,080","1,080","https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/90064805_696518434421185_4631019488003932983_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=01VYrhmuxDAAX-UWUJa&oh=57deff4ef1658da4cbdcb0641f390531&oe=5EA25A86",2,2,0,,,,2267037131440376294,"Many of you have inquired about what you can do to help our local businesses during this time. One way is to “Buy Now, Spend Later” through gift card purchases. This helps businesses with the revenue they need now, and gives you a fun outing later on! Together we will come out of this a stronger community.

#buynowspendlater #vistavillagecommunity #vistavillagehelping #vistavillagemall #VistaVillage #Vista #California",false,false,,,,,,,,15443515786,shopvistavillage,B92IkKAH8nm,"1,584,471,915",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/90064805_696518434421185_4631019488003932983_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=01VYrhmuxDAAX-UWUJa&oh=c5cd824f91e5d601060314cf692d7026&oe=5EA1CA3C",false
"Mar 17, 2020 @ 20:29:59.488",1,GraphImage,jScw6nABCuLPJKLpTyqm,"insta_data-2020.02.26-000001",,"_doc","Photo by Baker in Runyon Canyon Park. Image may contain: dog, outdoor and nature",false,0,false,"1,080","1,080","https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/90410726_2727718697353609_7483177905380290169_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=p_ERVeoznwwAX9tLIu3&oh=bd51bb9ca91cd938db42bb8f7290957f&oe=5EA63BEB",10,10,1,,,,2267037194228916189,"💪🏼",false,false,"{""id"":""504872903"",""slug"":""runyon-canyon-park"",""has_public_page"":true,""name"":""Runyon Canyon Park""}",,,,,,,7426820030,bakertheblueboy,"B92IlEenN_d","1,584,471,915",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/90410726_2727718697353609_7483177905380290169_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=p_ERVeoznwwAX9tLIu3&oh=074e8c277b54a4bf975cc4ebb5ae8f63&oe=5EA3BA2F",false
"Mar 17, 2020 @ 20:29:59.021",1,GraphImage,jCcw6nABCuLPJKLpTSrU,"insta_data-2020.02.26-000001",,"_doc","Photo by Jade🌻💜 in Los Angeles, California. Image may contain: 1 person, shoes, living room and indoor",false,0,false,"1,350","1,080","https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/90089177_192200995541280_4801351828820738459_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=obvT3AUFMS4AX_yTBlM&oh=95993f8654be7b95f853c815119824f6&oe=5E9E7FF5",14,14,0,,,,2267037205175531398,"Stop getting so offended... weak ass bitch.... •
•
•

#skinnybitch #makeuptutorial  #makeup #makeuptutorial #makeupartist
#makeupartistsworldwide #anastasiabeverlyhills #anastasiabrows #transgender #blondehair #morphe #beccacosmetics #morphebabe #nyx #california #losangeles #bra #spring #victoriassecret #facialfeminizationsurgery #nosejob #bodymod #shotoniphone #iphone11 #2020 #nickiminaj #bodypositive #snapchatfilter #flawless #blessed #kashdoll",false,false,"{""id"":""212999109"",""slug"":""los-angeles-california"",""has_public_page"":true,""name"":""Los Angeles, California""}",,,,,,,252464229,"_jade231",B92IlOrFPeG,"1,584,471,916",,"https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.180.1440.1440a/s640x640/90089177_192200995541280_4801351828820738459_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=obvT3AUFMS4AX_yTBlM&oh=3d8aa6be17479ad8bfbbac8868977d9c&oe=5E9F7566",false
"Mar 17, 2020 @ 20:29:58.641",1,GraphImage,iycw6nABCuLPJKLpTCpY,"insta_data-2020.02.26-000001",,"_doc","Photo by Babymoominn on March 17, 2020. Image may contain: living room and indoor, possible text that says 'Thank you to the 2 hardworking gentlemen who helped me yesterday in moving heavy furnitures! had to tip them very well bc this job is hard! It made me realize those that are hardworking will find any way to make money and those that are lazy find excuses.'",false,0,false,"1,349","1,080","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/90089835_210521963494958_8660868827963487007_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=J1dx24JB_2kAX9hef1Z&oh=735c084debc8c119568580d21329043b&oe=5EA74728",7,7,1,,,,2267037235685403297,,false,false,,,,,,,,6026194083,babymoominn,B92IlrFnKqh,"1,584,471,919",,"https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.117.937.937a/s640x640/90089835_210521963494958_8660868827963487007_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=J1dx24JB_2kAX9hef1Z&oh=ccece284568668bd3b38b9a3a0842018&oe=5EA20F1E",false
"Mar 17, 2020 @ 20:29:58.260",1,GraphImage,iicw6nABCuLPJKLpSira,"insta_data-2020.02.26-000001",,"_doc","Photo by Ocean Mortgage in San Diego, California. Image may contain: plant, outdoor and nature",false,0,false,"1,080","1,080","https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/90217020_204064347603709_5037965247398098656_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=K43e4B312kQAX9ITy9m&oh=c8ca8980997eb419d2f998cc6913fdec&oe=5EA20040",1,1,0,,,,2267037260088426853,"Make sure to stay safe out there for this St. Patrick’s Day!

#OceanMortgageSD #sandiego #california #cali  #realestate #mortgage #mortgagebroker #conventional #refinance #advisory #finance #housing #lending #stpatricksday #stpattysday #Staysafe #SD",false,false,"{""id"":""212983635"",""slug"":""san-diego-california"",""has_public_page"":true,""name"":""San Diego, California""}",,,,,,,25307970075,"ocean_mortgage",B92ImB0JUFl,"1,584,471,922",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/90217020_204064347603709_5037965247398098656_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=K43e4B312kQAX9ITy9m&oh=f2ca4230ff38bdb2e885dcf9df813fdf&oe=5EA193A5",false
"Mar 17, 2020 @ 20:29:57.820",1,GraphImage,iScw6nABCuLPJKLpSSoj,"insta_data-2020.02.26-000001",,"_doc","Photo by @elisebrdn in Big Sur, California. Image may contain: ocean, sky, cloud, plant, mountain, outdoor, nature and water",false,0,false,809,"1,080","https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/90040042_1676139372523869_6224993444312294220_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=NJw_TNU8MGAAX9JdZJh&oh=de4870c257535bf75aabbd747adee0ee&oe=5E9E3A72",64,64,5,,,,2267037314992168042,"vu que y a r à poster en ce moment je poste de vieux trucs histoire de faire genre que j’ai une vie, bisous 
#very2k18#california#highway1#ocean#bigsur#america#westcoast",false,false,"{""id"":""215995209"",""slug"":""big-sur-california"",""has_public_page"":true,""name"":""Big Sur, California""}",,,,,,,342088127,elisebrdn,B92Im08qdxq,"1,584,471,929",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c180.0.1079.1079a/s640x640/90040042_1676139372523869_6224993444312294220_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=NJw_TNU8MGAAX9JdZJh&oh=d1167334de0c6fddd432148309bcd1f5&oe=5E9F5848",false
"Mar 17, 2020 @ 20:29:57.315",1,GraphImage,cicw6nABCuLPJKLpRyoq,"insta_data-2020.02.26-000001",,"_doc","Photo by Mischa on March 17, 2020.",false,0,false,"1,350","1,080","https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/90086501_516428669251242_570286342595851636_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=X13rzYJj_LUAX-wWihL&oh=e1e0c01a1b586fa16437b44aec7524f6&oe=5EA1E6A9",10,10,0,,,,2267037336288597741,"Bubble Waffles (Puffles) 
I’d have to say, this was one of the best boba shop in San Diego. The environment was clean, fun, friendly, and very Instagrammy. They’re puffles are also great and boba tasted nice, flavorful, with a great balance of sweetness. 
#puffles #sandiego #bubblewaffles #hongkongbubblewaffles #boba #bobabar #dessert #asiandessert #foodies #instafood #foodadventures #instadessert #california #bobaandicecream #convoystreet #convoy",false,false,,,,,,,,1376462868,mischamvx,B92InIyB5bt,"1,584,471,931",,"https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.180.1440.1440a/s640x640/90086501_516428669251242_570286342595851636_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=X13rzYJj_LUAX-wWihL&oh=3f1eb512d68f83dbd5598f570ac297c4&oe=5E9D40F7",false
"Mar 17, 2020 @ 20:29:56.906",1,GraphVideo,cScw6nABCuLPJKLpRSqR,"insta_data-2020.02.26-000001",,"_doc",,false,0,false,937,750,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/89854979_2292888941012283_7645424031588692113_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=iG9vHODg4qQAX95zCKv&oh=7ed0db9d91c624b978943172a606a2c1&oe=5E74007F",32,32,0,,,,2267036643885517087,"Just sending you some ☀️ in this difficult time.
Stay safe and stay healthy .
This too shall pass ☀️☀️☀️
•
•
•
#sun #sandiego #california #love #hope #sky #itsewelina #clouds",false,true,"{""id"":""212983635"",""slug"":""san-diego-california"",""has_public_page"":true,""name"":""San Diego, California""}",,,,,,,1353613919,"itsewelina_",B92IdD7lwkf,"1,584,471,939",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.90.720.720a/s640x640/89854979_2292888941012283_7645424031588692113_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=iG9vHODg4qQAX95zCKv&oh=2a0d98cded9e7c7def2ed0ca185576e8&oe=5E740092",false
"Mar 17, 2020 @ 20:29:56.524",1,GraphSidecar,cCcw6nABCuLPJKLpRCoT,"insta_data-2020.02.26-000001",,"_doc","Photo by @chicanasocal on March 17, 2020. Image may contain: 1 person, closeup",false,0,false,750,750,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/90145292_660959651325919_2350642994578598890_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=HL8JiWlLNNMAX_gEC7Z&oh=40cca311ac570f465038043cfefe50c6&oe=5E9DEBBB",23,23,4,,,,2267037398783736833,"#Chicana #SoCal #Ganjagirls
#OneLove #Organic #Holistic 
#420 #710 #cannabisextracts 
#cbd #concentrates #thc #headstash 
#wax #shatter #CaliForNIA
#WestCoast #HarborArea
#LosAngeles #LongBeach
#dabstagram #weedstagram420
#Rasta #Rastafari #CaliforniaRepublic
#dontpanicitsorganic 🌱🍯
#StPatricksDay",false,false,"{""id"":""1866224610062279"",""slug"":""harbor-area-los-angeles-california"",""has_public_page"":true,""name"":""Harbor Area, Los Angeles, California""}",,,,,,,13826475150,chicanasocal,"B92IoC_B7wB","1,584,471,939",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/90145292_660959651325919_2350642994578598890_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=107&_nc_ohc=HL8JiWlLNNMAX_gEC7Z&oh=c4ec30107e081882c8f869ff2c5124d3&oe=5EA0AF5E",false
"Mar 17, 2020 @ 20:29:56.065",1,GraphImage,bycw6nABCuLPJKLpQipI,"insta_data-2020.02.26-000001",,"_doc","Photo by Brian Cruze on March 17, 2020. Image may contain: text",false,0,false,750,"1,080","https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/89859281_523635625195549_3728661813523727862_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=2VaJFLbeL-IAX9rYnhy&oh=c5a788f7f1979ae55534a00451f1d89b&oe=5EA0DC15",0,0,0,,,,2267037405831645499,"This Emergency Alert [Amber Alert type]
#California #BayArea #SiliconValley popped on my phone screen #Coronavirus",false,false,,,,,,,,36898232,"briancruze_usa",B92IoJjHkk7,"1,584,471,940",,"https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c163.0.741.741a/s640x640/89859281_523635625195549_3728661813523727862_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=2VaJFLbeL-IAX9rYnhy&oh=0820b63b9e2394479ce70b9defb17fbe&oe=5E9E4AFB",false
