owner.id,location.id,taken_at_timestamp,hashtag1,hashtag2,hashtag3,hashtag4,hashtag5,hashtag6,hashtag7,hashtag8,hashtag9,hashtag10
12913407830,666896716830627,1565022070,маленькиймоторчик,0,0,0,0,0,0,0,0,0
10806728481,997520739,1565023207,водаеда,водаедакрд,тусовка,галереякраснодар,кмр,краснаяплощадькраснодар,0,0,0,0
1736243982,2065707803645659,1565023341,le_mesto,le_доминикана,0,0,0,0,0,0,0,0
432336675,219218122,1565023442,геленджикдети,геленджик,поделки,творчество,дети,нашидети,отдыхнаморе,отдыхсдетьми,родители,море
5862861051,504691026,1565023489,Восхождения,восхождениявгоры,Экстрим,Горы,Горныйгид,Альпинизм,Горноефото,путешествия,отпуск,тур
9298039983,1023251295,1565023537,грузия,путешествия,отдыхсдетьми,турыпогрузии,животные,дельфины,море,dolfins,sea,0
4530623490,14613520,1565023761,0,0,0,0,0,0,0,0,0,0
466897413,213150179,1565023940,bukovel,0,0,0,0,0,0,0,0,0
3599753584,221061681,1565024050,0,0,0,0,0,0,0,0,0,0
7946637117,240530884,1565024128,канака,канакскаябалка,отдых,отдыхссемьей,отдыхсдетьми,лето,море,пляж,крым,отдыхвкрыму
7190733799,214672871,1565024160,0,0,0,0,0,0,0,0,0,0
2236306090,257784493,1565024542,0,0,0,0,0,0,0,0,0,0
1127441978,628705174289667,1565024595,kidlandia,kidlandiakiev,кудапойтисдетьмикиев,паркпрофессийдлядетей,городдлядетей,отдыхсдетьми,учимсяиграякиев,детскийдосугкиев,дітикиїв,кудапойтисребенкомкиев
383741469,519580210,1565024600,0,0,0,0,0,0,0,0,0,0
11891542401,213085667,1565024711,gromsamui_рекомендует,0,0,0,0,0,0,0,0,0
6164528085,1657271277619693,1565024721,Крымтур,отдыхвКрыму,отдых2019,токзолотойпляж,отдыхвФеодосии,гостиницавФеодосии,золотойпляжФеодосия,вседорогиведутвкрым,отдыхсдетьми,моревкрыму
12852958079,1467021236732682,1565024811,эффектпиццы,нескучный_отдых_факты,пицца,путешествияпомиру,отдыхсдетьми,ньюйорк,неаполитанскаяпицца,0,0,0
264439786,265037063,1565024993,0,0,0,0,0,0,0,0,0,0
1632639965,1172406852811286,1565025296,travel,путешествие,mytrip,travel_razum,travelrazum,dreamtrips,mylovelytravel,zlatoust,nice,тревелсоветы
1552086740,498347871,1565025455,0,0,0,0,0,0,0,0,0,0
175428663,1029785295,1565025518,0,0,0,0,0,0,0,0,0,0
285878079,213174824,1565025759,мойсын,моевсе,мамасына,счастливаямама,инстамама,люблюнемогу,boy,отдыхсдетьми,семейныйотдых,love
4304732366,927051714114687,1565025811,семейныйотдых,отдыхнаморе,more_ua,mariupolcity,mariupolblog,улыбка,красота,инстатаг,детскийдосуг,природа
1505906824,339199532824840,1565025937,турыкамбоджа,турысиануквиль,путешествие,отдых,туры,пегаспечора,глобуспечора,пляжныйотдых,экскурсионныетуры,автобусныетуры
2939727838,1012821954,1565025958,0,0,0,0,0,0,0,0,0,0
13230055603,241384023075799,1565026450,турытаиланд,турыпаттайя,ambassadorcityjomtieninnwing,табачка,дешевыетуры,турагентстватаганрога,турыростовнадону,турагентстваростова,турагентствакраснодара,турытаганрог
14236927645,405229172,1565026497,0,0,0,0,0,0,0,0,0,0
1565952829,217669244,1565026507,турыхорватия,турыдубровник,путешествие,отдых,туры,кудапоехать,гдехорошо,гдекрасиво,горящиетуры,поравотпуск
4397258677,218087358942799,1565026802,coraltravel,coraltravellive,0,0,0,0,0,0,0,0
11170904973,532400740,1565026811,банянадровах,саунаворонеж,банявчане,сибирскийбанныйчан,сибирскийчан,бильярд,баняворонеж,voronezh_gorod,v_voronezhe,арендабани
4486350439,213125596,1565026843,0,0,0,0,0,0,0,0,0,0
3994963150,213087839,1565026878,море,отдыхсдетьми,закатнаморе,0,0,0,0,0,0,0
2103725827,213281320,1565026922,турыоаэ,турыдубай,путешествие,отдых,туры,0,0,0,0,0
6732619677,218629791,1565026984,0,0,0,0,0,0,0,0,0,0
11921616299,894812510,1565027039,0,0,0,0,0,0,0,0,0,0
7900471939,650314978,1565027216,0,0,0,0,0,0,0,0,0,0
3799056701,567106537,1565027250,таганай,банное,отдыхсдетьми,отдыхскомфортом,лето,каникулы,отпуск,0,0,0
7900471939,650314978,1565027285,0,0,0,0,0,0,0,0,0,0
17788602780,1033364253,1565027310,restinmoscow,reswithkidsmsk,rest,moscow,vacations,kids,instakids,summertime,l4l,likeforlikes
1469236015,221674386,1565027335,0,0,0,0,0,0,0,0,0,0
7900471939,650314978,1565027350,0,0,0,0,0,0,0,0,0,0
12167721048,113245529,1565027878,0,0,0,0,0,0,0,0,0,0
1958570813,219244324,1565027967,Золотойвозраст_Изумрудное,0,0,0,0,0,0,0,0,0
516348134,217690101,1565028064,0,0,0,0,0,0,0,0,0,0
485983214,227776609,1565028114,адлер,паркюжныхкультур,лето2019,отдыхсдетьми,0,0,0,0,0,0
5748788806,258642444,1565028257,0,0,0,0,0,0,0,0,0,0
1599535928,923773843,1565028280,лепота,умиротворение,наотдыхе,русскоесело,отдыхсдетьми,0,0,0,0,0
12167721048,113245529,1565028352,0,0,0,0,0,0,0,0,0,0
13528395003,213174824,1565028589,розыгрыш,конкурспитер,конкурсспб,райвола,рощино,спортивныйлагерь,отдыхсдетьми,фитнесдлямам,спорт,спортдлямам
2207343613,169743497045543,1565028613,нашалягушка,водяныегорки,бассейны,детскиеразвлечения,оргеев,orheiland,relaxtime,child,досуг,отдыхсдетьми
3194346001,1019022564,1565028906,0,0,0,0,0,0,0,0,0,0
3988629820,574071752,1565029430,отпуск,отдых,море,приключения,рассветы,закаты,лето,отдыхсдетьми,витязево,0
12724306366,213879925,1565029622,0,0,0,0,0,0,0,0,0,0
12732842126,247180312820374,1565029652,кемпинг,загородныйотдых,bohocampspb,бохокемп,glamcamping,загородспб,отдыхспб,загородныйотдыхспб,отдыхсемьейспб,отдыхленобласть
8658555060,222836363,1565029802,hitaly,hitalyru,КаприHitaly,НеапольHitaly,ИскьяHitaly,пакетныетуры,трансфер,броньотелей,отдыхсдетьми,неаполь
421334626,248915988,1565029973,отдыхсдетьми,словения,0,0,0,0,0,0,0,0
13029671299,2047693435549178,1565030008,гостевойдомamore,геленджик,гостевойдом,голубаябухта,отдыхссемьёй,отдыхсдетьми,0,0,0,0
1457603636,407178500046210,1565030105,алушта,пляж,ялта,отель,ялтаинтурист,дети,отдыхсдетьми,мысливслух,0,0
8439984692,2117337591914536,1565030714,от1года,моймалыш,частныйдетскийсад,раннееразвитие,удивительныймир,детямвесело,родителиспокойны,детскиеэкскурсии,кудапойтисребенком,отдыхсдетьми
457556044,1029952176,1565030802,capopeloro,отдыхнасицилии,семейныйотдых,итальянскиеканикулы,сицилия,отелисицилии,отдыхсдетьми,отдыхтурагента,0,0
7996457382,930215457164798,1565030987,гостиницадеонисий,отельдионисий,дионисийвитязево,дионисийанапа,отель,витязево,паралия,отдых,отдыхаем,отдыхсдетьми
7469924126,714941835529977,1565031070,0,0,0,0,0,0,0,0,0,0
2282834140,602191962,1565031072,турывлимассолизновосибирска,0,0,0,0,0,0,0,0,0
3136014315,294901099,1565031202,persforen,guittgysic,0,0,0,0,0,0,0,0
7779217126,1791501154241002,1565031640,0,0,0,0,0,0,0,0,0,0
9070365643,1957603134509729,1565031926,отдыхнаморе2019,раннеебронирование,сочи2019,отдыхвсочи2019,турагентростов,ростовзападный,моевертолетноеполе,турфирмаростов,турыростов,отелионлайн
1351490204,1892312897670195,1565031944,многомама,многодетныйотдых,путешествиясдетьми,внутреннийтуризм,вседорогиведутвкрым,любимыйкрым,сдетьми,отдыхсдетьми,сдетьмивесело,travelcrimea
7335806957,359779749,1565031973,0,0,0,0,0,0,0,0,0,0
6851673698,161627677945656,1565032091,parkvoshod,паркотельвосход,0,0,0,0,0,0,0,0
421334626,248915988,1565032108,отдыхсдетьми,словения,0,0,0,0,0,0,0,0
4091093802,1534124700246877,1565032163,mzgb_yar,mzgb,мозгобойняярославль,пивоваръ,ярославль,отдыхсдетьми,дисней,0,0,0
8175498595,213087839,1565032179,0,0,0,0,0,0,0,0,0,0
835708727,1198629276881162,1565032322,турагентсевастополь,турагентствосевастополь,турфирмасевастополь,отдыхзаграницей,горящиетуры,турынановыйгод,раннеебронирование,отдыхсдетьми,турыизсевастополя,турыизсимферополя
8439984692,25722017,1565032370,от1года,моймалыш,частныйдетскийсад,раннееразвитие,удивительныймир,детямвесело,родителиспокойны,детскиеэкскурсии,кудапойтисребенком,отдыхсдетьми
1927503871,407080912,1565033017,отпуск,турызеленоград,мореморе,лучшиепутешествия,идеальноепутешествие,кайфуем,босфортурзеленоград,вечноелето,накраюсвета,крым
17763132933,510108213,1565033076,0,0,0,0,0,0,0,0,0,0
3111393260,630935603928955,1565033171,облака,пляж,азовскоеморе,казантип,щелкино,отдыхсдетьми,крым,феодосия,керчь,крымскиймост
