owner.id,location.id,taken_at_timestamp,hashtag1,hashtag2,hashtag3,hashtag4,hashtag5,hashtag6,hashtag7,hashtag8,hashtag9,hashtag10
12926600,32698733,1431215777,WeighIn,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music
12926600,248451781942465,1435806898,performance,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,250382258,1440123072,TheSoundClash,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music
12926600,6276805,1440259662,hobnola,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,6276805,1440263396,hobnola,neworleansmostwanted,lastnight,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,6276805,1440268055,hobnola,neworleansmostwanted,lastnight,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,6276805,1440272891,hobnola,neworleansmostwanted,lastnight,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,6276805,1440276781,hobnola,neworleansmostwanted,lastnight,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,6276805,1440280489,repost,fav,lastnight,house,blues,younggage,rap,hiphop,music,radio
12926600,6276805,1440285257,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,6276805,1440288555,hobnola,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,6276805,1440341822,hobnola,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,6276805,1440422001,ThankYou,goodmorning,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music
12926600,504982317,1440684573,goodmorning,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,250382258,1440688716,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,501883342,1440877209,Nola,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music
12926600,142198,1440958974,2chainz,weekend,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music
12926600,238247368,1440976240,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis,batonrouge
12926600,32698733,1441127946,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,32698733,1441313314,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,218849880,1441334854,bowling,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music
12926600,32698733,1441670821,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,1013909897,1441759866,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1441813234,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,32698733,1441830009,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,1013909897,1441889111,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1441989386,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,817515516,1442072767,younggage,younggagemusic,area51,batonrouge,louisiana,music,rap,hiphop,saturday,september
12926600,817515516,1442077474,naturalhair,locs,locnation,natural,hair,younggage,hiphop,rap,radio,djs
12926600,817515516,1442081442,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,1013909897,1442085344,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1442238839,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1442322035,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1442408497,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,215226859,1442421098,BatonRouge,humpday,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music
12926600,215226859,1442432100,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,215226859,1442510567,BatonRouge,louisiana,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,213424196,1442516731,tbt,batonrouge,neworleans,younggage,hiphop,rap,radio,djs,blogs,minneapolis
12926600,215226859,1442521617,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,215226859,1442539931,numberone,BatonRouge,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,215226859,1442580993,Louisiana,BatonRouge,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1442593174,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,215226859,1442671380,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,392944894,1442715386,NewOrleans,hottestinthegame,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1442759999,BatonRouge,NewOrleans,westbank,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1442766644,BatonRouge,NewOrleans,westbank,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc
12926600,1013909897,1442776456,BatonRouge,NewOrleans,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music
12926600,215226859,1442839630,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
12926600,1013909897,1442846203,Repost,Baton,KeepPushn,younggage,hiphop,rap,radio,djs,blogs,minneapolis
12926600,215226859,1442850800,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis,batonrouge
12926600,32698733,1442856524,younggage,hiphop,rap,radio,djs,blogs,minneapolis,washingtondc,music,memphis
