owner.id,location.id,taken_at_timestamp,hashtag1,hashtag2,hashtag3,hashtag4,hashtag5,hashtag6,hashtag7,hashtag8,hashtag9,hashtag10
7403629816,221022589,1564056712,отдых,горы,горыкавказа,красотаприроды,воздух,грузия,вино,грузинскаякухня,грузияотдыхцены,грузиямоимиглазами
2930332470,262176779,1564056901,компастурагент,отдыхаемхорошо,работаемотлично,тунис,тунисизкраснодара,счастьеесть,отдыхбеззабот,счастьевмелочах,отдыхмечты,путешествиемечты
1068518797,569404492,1564057049,ресторангречка,0,0,0,0,0,0,0,0,0
1916819465,280088559275256,1564057054,вролимногодетноймамы,0,0,0,0,0,0,0,0,0
240223130,213174856,1564057065,любовь,свадьба,отдыхсдетьми,0,0,0,0,0,0,0
4286848621,256107739,1564057138,дневникнашегоотдыха,деньдевятый,воспоминания,belisdeluxehotel,турция2019,отдыхсдетьми,0,0,0,0
6625133794,852374611598975,1564057141,горячиетуры_68туры,отдыхсдетьми,турция,турыповсемумиру,втамбове,низкиецены,выгодныетуры,путешествие,горящиетуры,вылетизворонежа
4006059407,346767862328212,1564057199,ictours,горящиетурыминск,горящийтур,горящиетуры,отдыхизминска,турыизминска️,турыизминска2019,турыминск,отдыхсдетьми,отдвхсдетьминаморе
2999016958,638842749622667,1564057327,горящиетуры,турция,турывтурцию,туры,детскийотдых,отдыхсдетьми,краснодар,дешевыетуры,travel,travelblogger
2095155434,638842749622667,1564057331,горящиетуры,турция,турывтурцию,туры,детскийотдых,отдыхсдетьми,краснодар,дешевыетуры,travel,travelblogger
7087967337,286345895,1564057357,испания,испания,турывиспанию,турывиспанию2019,костабрава,костадорада,spain,spain,barcelona,costabrava
632450422,362726464,1564057445,санья,китай2019,отдыхсдетьми,детивкитае,0,0,0,0,0,0
10806728481,1939549072953922,1564057517,водаеда,водаедакрд,аквакомплексводаеда,ресторанкраснодар,краснодар,типичныйкраснодар,детскийпраздниккраснодар,отдыхубассейнакраснодар,кальянкраснодар,баркраснодар
1245354123,539722085,1564057550,рыбалкавастрахани,рыбалкавдельте,рыбалканараскатах,рыбалканаволге,подводводнаяохотаастрахань,подводнаяохота,охотаастрахань,рыбалкаиохота,рыбалка,рыбалка
5863923893,213087839,1564057651,сочи,0,0,0,0,0,0,0,0,0
422393986,597859196,1564057743,0,0,0,0,0,0,0,0,0,0
5881738672,188686904896332,1564057746,portaventura,spain,spain,park,aventurapark,отдыхсдетьми,паркимира,паркиевропы,портавентура,portaventuraworld
9153990597,441470707,1563790212,0,0,0,0,0,0,0,0,0,0
9153990597,225757532,1563875325,0,0,0,0,0,0,0,0,0,0
627660650,230084092,1563877089,0,0,0,0,0,0,0,0,0,0
12551586693,215711407,1563962646,0,0,0,0,0,0,0,0,0,0
357956302,247562078,1563999869,вкусно,поресторанам,винишко,гастрономическийоргазм,ялюблюеду,мама,мамавдекрете,мамаблогер,мамасына,отдых
559023711,186077992110544,1564029096,ТороповаДача,Адрюня,местечко,мангалы,озеро,хлебомнекорми,бадминтон,Данечка,шилопопы,0
357956302,747699875,1564053829,мама,мамавдекрете,мамаблогер,мамасына,отдых,отдыхсдетьми,болгария,семья,вместе,веселее
1165574980,268746181,1564055936,моясемья,семейноефото,фотосессиянаморе,отдыхсдетьми,море,черноеморе,ямама,маминосчастье,children,childrenphoto
352961114,216992398,1564057485,мастеркласс,торты,торт,парк,отдых,лето,отдыхвмоскве,летовмоскве,отдыхсдетьми,прогулки
7096773631,428911035,1564058109,0,0,0,0,0,0,0,0,0,0
8669186803,125211485546925,1564058169,0,0,0,0,0,0,0,0,0,0
7077216383,1895626150491081,1564058209,туризм,пляж,море,zolotyevorotatour,0,0,0,0,0,0
6072581175,1822594141400656,1564058320,отдыхсдетьми,франция,блогерыукраины,киевблог,мамакиев,ивентыкиев,инстамама,инстапапа,матьвпорядке,мамыкиева
4569950168,851414163,1564058698,0,0,0,0,0,0,0,0,0,0
680616114,213174824,1564058735,БОЛГАРИЯ,отдыхсдетьми,sunorange,0,0,0,0,0,0,0
4265664503,1034772639,1564059089,Лето,ЮныеЗОЖники,ДеньСпорта,Великан,ВалеоМама,ПрибойСаки,Лето2019,Саки,ОтдыхСДетьми,ОтельСАнимацией
4006059407,346767862328212,1564059200,ictours,горящиетурыминск,горящийтур,горящиетуры,отдыхизминска,турыизминска️,турыизминска2019,турыминск,отдыхсдетьми,отдвхсдетьминаморе
24856331,995440875,1564059273,лето,отпуск,отпусксдетьми,отдых,жара,отдыхсдетьми,selfidayys,0,0,0
1384612801,217912000,1564059312,море,моретуров,тур,харьков,турагентство,моретуровхарьков,напушкинской,турагентствовхарькове,турагент,путешествие
536342155,132419550806864,1564059347,0,0,0,0,0,0,0,0,0,0
2207071032,418993009,1564059482,0,0,0,0,0,0,0,0,0,0
1489741963,272026453,1564059523,лавриненко,лаврикивгреции,loverinenko,lavrotrip,греция,greece,отелигреции,лето,море,отпуск
2005060002,213679196,1564059608,виллаюжная,сочи201-,отдыхсдетьми,море,солнце,якорнаящель,нижняяберанда,отдыхнаморе,sochi_2019,лайкфренду
6867852691,355588985256589,1564059650,краскилета,июличкалето,танцыдетям,детскиетанцы,росписьпряников,красочныефото,отдыхсдетьми,съедобныеподарки,0,0
1774606525,474277350,1564059831,отдыхсдетьми,полеты,впуть,0,0,0,0,0,0,0
2097146523,506183146545689,1564059959,Рома_рар,рома_рар_парки,рома_рар_ходынка,мама_рар_кудасходить,ходынскоеполе,паркнаходынскомполе,ходынка,паркнаходынке,авиапарк,тцавипарк
1571429410,413419059150842,1564060045,tarhankut,okunevka,западноепобережьекрыма,западныйкрым,тарханкут,мыстарканхут,беляус,окуневка,селоокуневка,гостевойдомокуневка
12852958079,257070674,1564060076,нескучный_отдых_путешествия,0,0,0,0,0,0,0,0,0
15640709887,17326249,1564060085,путешествовать,вместе_по_свету,0,0,0,0,0,0,0,0
6000555534,1640702272741909,1564060096,фигурноесматвеем,0,0,0,0,0,0,0,0,0
7163265356,1872180813073116,1564060179,priroda_resto,кривойрог,ресторан,скворечник,отдыхсдетьми,отдыхнаприроде,наприроде,бар,бармен,cocktails_for_you
11925985670,254561710,1564060186,кабинетдокторалевиназп,квестзапорожье,квеструмзп,квест,квеструмзапорожье,квесты,квеструм,квестзапорожья,кабинетдокторалевиназапорожье,развлечение
1704031622,217884510,1564060211,0,0,0,0,0,0,0,0,0,0
11925985670,1425130527570759,1564060255,кабинетдокторалевиназп,квестзапорожье,квеструмзп,квест,квеструмзапорожье,квесты,квеструм,квестзапорожья,кабинетдокторалевиназапорожье,развлечение
4980028482,337644133449014,1564060272,золотойключик,отдыхнаалтае,отдыхсдетьми,отдыхнаприроде,отдыхнаберегу,отдыхссемьей,отдыхвгорном,семейныйотдых,турбазаалтай,базасбаней
11925985670,254561710,1564060274,кабинетдокторалевиназп,квестзапорожье,квеструмзп,квест,квеструмзапорожье,квесты,квеструм,квестзапорожья,кабинетдокторалевиназапорожье,развлечение
11925985670,254561710,1564060332,кабинетдокторалевиназп,квестзапорожье,квеструмзп,квест,квеструмзапорожье,квесты,квеструм,квестзапорожья,кабинетдокторалевиназапорожье,развлечение
11925985670,254561710,1564060350,кабинетдокторалевиназп,квестзапорожье,квеструмзп,квест,квеструмзапорожье,квесты,квеструм,квестзапорожья,кабинетдокторалевиназапорожье,развлечение
6607839577,212898659,1564060510,travel,turkey,antalya,hottour,путешествия,отдых,море,лето,турагенствокиев,осокорки
7540125721,209335786546061,1564060536,любимаясемья️,отдыхсдетьми,дочурка,море,первыйразнаморе,0,0,0,0,0
11631218087,317165652,1564060576,0,0,0,0,0,0,0,0,0,0
3540170170,535358786635053,1564060603,priroda_resto,кривойрог,ресторан,скворечник,отдыхсдетьми,отдыхнаприроде,наприроде,летник,летняятерраса,терраса
7292824710,1528603060792743,1564060747,лиманскийберег,жильелиманская,отдыхвзатоке,отдыхзатока2019,отдыхвзатоке2019,затока,затока2019,курортзатока,жильечерноеморе,отдыхнаморе
9713355125,354746568,1564060873,0,0,0,0,0,0,0,0,0,0
6331607162,269842419840421,1564060942,отдыхвкиндги,отпуск,отдыхвдеревне,отдыхсдетьми,море,солнце,детивдеревне,радость,дождь,лето
434260066,268746181,1564061073,отпуск2019,мужтакоймуж,море,солнце,пляж,отдыхсдетьми,крым,0,0,0
1813929422,717226626,1564061083,НоворижскаяЗастава,Депо,Красногорск,Десерты,Зож,ДесертнаяКарта,Красногорк,лето,ОтдыхСДетьми,Свадьба
5915355222,2074175276140709,1564061109,0,0,0,0,0,0,0,0,0,0
2846553639,573995769,1564061138,паркотель,zvenigorodpark,отельвсёвключено,дети,лето,спорт,брумбол,broomboll,спортвподмосковье,летовподмосковье
8658555060,256866974,1564061496,hitaly,hitalyru,ИскьяHitaly,термальныйпарк,садыпосейдона,пакетныетуры,трансфер,броньотелей,отдыхсдетьми,неаполь
8155673634,641931896,1564061604,marytravel,marytravel_kherson,мэритревел,авиабилеты,херсон,путешествие,отпуск,отдых,отдыхсдетьми,0
10176078654,393076237,1564061621,0,0,0,0,0,0,0,0,0,0
4975223781,760544014156773,1564061724,лайфак_отпуск,0,0,0,0,0,0,0,0,0
222875393,17326249,1564061729,МаришкаПутешествия,МаришкаГеленджик,МаришкаПутешествия,0,0,0,0,0,0,0
3256080502,767285938,1564061885,Torrevieja,Naufragos,ЖИЗНЬВКАЙФ,море,отдыхсдетьми,скоролето,арендажильявиспании,продажажильявиспании,солнечнаяиспания,недвижимостьвиспании
